name;money;skill;cheat;awarness
Invest655;76;24;29;93
Invest793;1237;54;85;34
Invest629;863;41;83;60
Invest998;1786;95;15;87
Invest789;1662;100;20;52
Invest110;2470;96;88;88
Invest939;568;39;19;11
Invest270;1288;79;15;20
Invest943;1465;67;58;31
Invest106;1438;62;63;71
Invest218;1390;83;9;1
Invest356;2288;99;52;42
Invest382;935;61;22;18
Invest92;78;7;4;47
Invest831;1308;79;5;40
Invest543;80;14;86;52
Invest911;1830;66;81;4
Invest71;85;4;69;96
Invest390;439;26;99;64
Invest654;554;40;21;85
Invest510;68;10;10;4
Invest28;3006;90;94;9
Invest986;1597;94;3;81
Invest936;100;19;39;67
Invest116;58;2;78;24
Invest109;93;13;10;2
Invest491;1283;74;21;36
Invest184;810;40;98;80
Invest611;76;26;45;35
Invest315;79;10;24;34
Invest503;360;23;69;85
Invest979;870;52;44;99
Invest860;1404;88;18;70
Invest810;481;29;74;90
Invest553;100;15;13;30
Invest452;382;27;38;1
Invest285;817;56;39;88
Invest784;1625;100;41;33
Invest10;94;9;57;12
Invest148;265;26;19;27
Invest885;78;8;20;25
Invest198;1123;45;97;23
Invest686;534;36;36;20
Invest762;840;31;82;28
Invest835;1237;75;36;96
Invest863;389;29;23;91
Invest253;2492;83;100;50
Invest849;300;23;23;77
Invest954;1258;69;64;74
Invest152;2249;86;78;47
Invest524;688;33;90;37
Invest448;1808;69;66;55
Invest690;1555;57;100;40
Invest1;798;39;76;18
Invest661;863;56;36;11
Invest484;1109;56;56;84
Invest246;3046;86;88;56
Invest423;1767;80;57;52
Invest35;1589;91;45;91
Invest177;1487;67;60;4
Invest278;519;34;67;60
Invest679;606;42;19;30
Invest961;627;45;8;72
Invest777;1296;60;76;79
Invest96;489;33;37;57
Invest712;3171;100;75;45
Invest549;677;46;46;18
Invest560;936;60;34;63
Invest322;510;33;64;65
Invest585;1142;51;86;70
Invest647;2211;84;92;94
Invest351;958;44;76;30
Invest402;1125;67;42;54
Invest214;99;26;39;77
Invest386;58;13;82;89
Invest791;1900;73;73;93
Invest181;34;13;81;1
Invest445;94;24;13;27
Invest416;1289;82;40;81
Invest347;1469;94;21;13
Invest604;58;14;35;31
Invest957;417;24;21;76
Invest813;1033;50;64;20
Invest794;1283;83;10;81
Invest748;383;31;50;12
Invest727;1374;72;63;81
Invest487;1578;95;40;25
Invest462;98;21;31;6
Invest113;96;10;48;37
Invest239;994;52;54;29
Invest155;95;21;88;88
Invest676;402;30;36;10
Invest430;488;41;21;88
Invest93;1076;68;29;88
Invest531;1234;59;57;86
Invest990;2073;78;96;54
Invest138;2628;82;90;52
