Invest5;23;80;80;80;80;80;80;80;80;80;16;100;68;100;100;100;100;100;98;100;100;100;100;100;100;100;100;100;100;68;100;100;100;100;100;100;100;100;100;68;76;100;100;64;100;100;100;100;68;68
Invest44;73;73;73;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;100;100;100;96;100;100;100;100;100;100;68;36;100;100;68;68;100;100;100;100;36;100;100;100;100;100;100;100;100;100;68
Invest151;84;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;100;100;100;100;100;100;100;100;100;98;98;98;98;98;98;98;100;64;100;100;100;100;100;100;100;100;100;36;68;36;100;100
Invest250;91;100;25;100;100;100;100;60;60;60;60;36;100;32;100;100;98;98;98;81;96;68;100;98;98;98;98;68;68;100;98;98;100;100;100;100;100;100;32;100;100;100;100;36;66;100;100;36;100;36
Invest259;30;30;19;100;100;100;100;78;100;100;100;100;36;68;68;97;97;100;100;100;36;68;68;100;97;36;68;100;100;100;100;100;100;100;100;96;100;100;100;100;100;100;100;100;100;100;68;96;68;68
Invest217;61;100;100;28;100;80;80;80;80;80;100;100;100;100;27;64;100;100;100;100;100;100;100;100;100;100;100;100;100;36;96;96;96;96;100;100;100;100;96;100;32;96;36;36;96;96;96;100;100;100
Invest59;93;89;89;89;66;66;4;4;4;21;96;100;68;20;20;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96;96;96;96;96;96;96;36;36;68;96;96;96;96;96;96;96;96;96;96
Invest265;19;19;84;84;36;85;5;84;44;100;100;100;100;100;100;100;100;100;36;100;100;100;100;100;96;96;36;100;100;100;100;100;100;100;100;100;100;100;68;100;100;100;96;38;100;100;100;68;100;32
Invest130;37;37;37;37;37;28;100;100;100;100;96;96;96;96;96;96;96;40;100;96;100;100;32;68;68;100;100;100;100;100;100;100;100;100;100;100;100;68;68;100;100;100;100;70;100;99;100;100;100;100
Invest244;26;26;63;63;68;100;45;45;45;20;20;96;86;100;84;96;36;100;96;96;96;100;100;100;100;100;100;68;32;100;96;100;100;100;97;97;100;96;96;100;96;100;100;100;100;100;100;100;100;100
