Invest5;94;35;9;9;63;36;36;53;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68;97;100;100;100;64;100;100;36;36;100;100;100;100;97;38;36;100;64;36;36;64;100
Invest44;33;85;85;85;70;96;100;68;100;36;36;36;36;36;68;96;100;100;100;100;68;100;100;68;100;96;96;96;96;100;97;96;96;98;98;98;36;36;36;65;96;96;100;36;100;100;100;100;96;97
Invest59;60;60;60;29;73;73;73;73;100;100;100;80;80;100;100;100;100;100;100;38;70;68;64;100;36;36;64;70;96;36;100;100;76;100;100;100;100;100;100;100;100;100;100;69;96;100;97;97;97;97
Invest50;20;20;15;65;28;64;64;64;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;36;36;36;36;68;68;100;36;96;100;68;68;100;96;96;96;96;96;100;100
Invest38;49;49;100;100;100;100;12;62;28;68;69;100;96;96;96;96;100;96;96;100;97;97;97;96;64;64;100;100;98;100;100;100;100;100;100;100;68;100;68;100;100;100;96;100;68;70;100;32;100;100
Invest65;29;29;69;85;85;85;8;100;100;100;100;100;100;98;64;64;64;100;96;36;100;100;100;100;100;100;100;100;100;36;36;100;68;36;100;68;100;100;68;100;40;100;100;100;68;68;68;68;96;36
Invest71;46;41;14;36;36;86;86;86;86;86;86;86;86;100;98;98;98;98;98;98;98;98;98;98;100;68;64;64;100;64;100;100;100;100;100;100;100;36;68;100;68;100;100;68;100;100;100;100;100;4
Invest23;99;79;79;79;79;79;79;4;4;100;100;100;100;100;100;44;44;44;44;44;68;100;100;100;100;33;96;68;32;100;100;68;96;100;100;100;100;100;100;100;100;100;100;100;96;100;100;84;36;100
Invest32;29;92;92;92;92;100;38;36;68;96;96;96;96;96;96;96;96;96;96;96;96;96;100;100;65;96;96;96;96;96;96;96;96;96;96;96;96;96;100;100;52;100;98;100;100;100;100;100;100;96
Invest26;6;6;6;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68;68;68;68;68;84;84;32;100;100;38;100;100;100;100;96;100;100;100;100;100;100;100;100;100;100;68;68
Invest53;41;41;41;68;68;68;68;4;4;68;68;4;100;36;100;100;100;100;100;96;100;100;100;100;96;100;100;100;100;100;96;36;99;96;96;96;96;96;96;96;96;100;68;68;68;68;64;76;100;100
Invest11;22;22;100;100;100;100;100;100;100;100;100;100;100;100;100;72;72;72;72;72;72;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96;68;100;100;100;100
Invest8;84;100;22;24;24;24;100;100;100;100;100;100;96;100;100;100;100;100;100;100;100;100;36;36;36;100;100;100;100;100;100;100;100;100;100;100;70;100;96;96;96;100;100;100;100;100;100;100;100;100
Invest47;47;20;93;74;100;100;96;100;100;100;100;100;100;100;100;68;100;100;100;100;100;100;100;100;100;96;100;100;100;100;100;100;68;100;100;76;100;100;96;96;36;36;100;4;100;96;97;97;64;100
Invest29;72;9;9;9;100;85;100;100;79;80;80;100;100;100;100;96;96;96;96;96;4;100;100;100;68;98;100;96;96;96;96;100;68;68;100;100;100;100;100;100;100;96;100;100;100;100;100;98;100;100
Invest20;59;30;30;93;93;93;68;36;100;100;100;65;100;96;100;100;0;32;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;100;100;100;100;32;97;96;100;100;100;100;100;100
Invest97;27;27;27;36;36;36;100;100;100;100;100;100;36;36;36;97;70;100;100;100;100;100;100;100;100;100;100;100;96;100;100;36;36;36;68;100;100;100;32;96;100;100;100;32;100;96;96;96;100;68
Invest2;69;61;61;61;61;100;100;100;100;100;100;100;100;68;100;96;70;70;100;100;36;36;36;100;36;100;36;100;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest14;54;100;100;44;44;44;44;77;17;100;100;68;68;68;68;68;68;68;68;68;68;100;99;100;100;100;64;100;100;100;96;100;36;36;100;100;100;100;100;100;100;100;100;100;100;100;100;96;64;64
Invest82;84;100;61;61;80;32;71;71;71;71;71;96;36;36;0;96;98;100;100;36;100;100;100;100;96;100;68;100;100;100;100;36;96;96;96;96;100;100;100;100;100;100;100;65;100;36;96;96;100;100
Invest35;89;100;100;100;17;17;17;17;17;68;80;80;100;100;100;100;100;100;100;100;33;33;33;33;36;44;100;96;96;96;96;100;36;100;32;100;100;100;97;64;32;32;32;64;100;100;100;100;100;100
Invest79;15;61;37;78;22;22;22;71;100;100;100;100;100;100;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;36;100;100;36;4;32;100;64;64;96;96;96;96
