name;money;skill;cheat;awarness
Invest54;92;1;70;15
Invest80;82;6;17;44
Invest19;83;9;22;89
Invest4;89;1;62;3
Invest18;93;19;35;25
Invest47;62;7;16;82
Invest87;1508;89;27;37
Invest95;1764;68;58;41
Invest78;341;30;32;6
Invest79;1812;70;82;99
Invest44;572;37;69;9
Invest28;794;32;98;80
Invest45;1699;98;34;59
Invest62;1824;83;51;74
Invest36;817;54;19;8
Invest63;1094;44;92;62
Invest37;1792;68;71;5
Invest73;506;36;37;47
Invest9;750;47;17;40
Invest94;446;25;87;14
Invest85;1195;66;36;40
Invest58;97;11;57;79
Invest46;964;58;3;82
Invest49;48;12;6;91
Invest61;1628;88;19;89
Invest33;84;9;14;57
Invest35;1091;63;10;97
Invest50;1724;96;24;5
Invest2;1296;76;38;34
Invest72;1471;83;41;66
Invest59;940;43;67;35
Invest0;701;46;22;70
Invest83;66;12;47;53
Invest12;1424;59;76;93
Invest11;2149;77;82;43
Invest24;70;6;66;53
Invest34;1435;52;80;88
Invest32;81;14;68;77
Invest48;1064;68;29;58
Invest97;708;44;31;77
Invest22;73;12;38;63
Invest41;726;39;4;38
Invest93;46;7;8;14
Invest74;59;3;17;79
Invest25;59;16;94;72
Invest67;509;30;32;65
Invest26;96;4;81;42
Invest14;62;7;65;59
Invest89;74;1;40;42
Invest64;42;6;28;41
Invest30;91;14;54;72
Invest52;1670;81;55;20
Invest31;1521;65;95;40
Invest81;83;15;48;64
Invest76;1820;70;69;78
Invest39;86;21;5;74
Invest51;1584;90;43;28
Invest43;2259;86;64;90
Invest17;1333;84;27;38
Invest27;1972;69;88;31
Invest42;1995;75;76;23
Invest77;331;30;5;12
Invest13;1274;46;92;20
Invest21;1003;62;25;21
Invest68;1248;76;49;67
Invest10;982;62;22;10
Invest71;856;51;3;94
Invest3;675;30;85;56
Invest29;633;32;96;76
Invest20;642;43;5;41
Invest86;642;38;20;54
Invest90;1584;61;63;30
Invest69;1672;96;35;23
Invest60;1149;70;12;15
Invest84;2585;90;88;74
Invest23;1713;98;49;2
Invest96;3063;96;82;69
Invest66;462;32;11;38
Invest1;354;29;19;31
Invest7;1050;62;49;68
Invest99;899;35;100;80
Invest57;2634;95;63;73
Invest8;1356;83;24;38
Invest75;2519;97;78;46
Invest55;1277;77;17;99
Invest15;804;44;100;75
Invest6;1457;69;63;84
Invest65;851;56;48;71
Invest92;1348;53;99;77
Invest82;1265;80;49;81
Invest40;2628;70;92;56
Invest56;2635;92;67;29
Invest98;1031;62;30;33
Invest5;391;29;32;47
Invest38;758;45;24;38
Invest91;1539;86;7;66
Invest70;858;54;16;82
Invest88;621;47;14;83
Invest53;2124;98;51;30
Invest16;471;34;18;75
