Invest44;90;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest5;54;22;48;48;100;100;68;100;100;100;100;68;36;100;100;36;68;96;100;100;96;96;96;96;96;100;100;96;100;100;100;68;100;96;68;100;100;100;36;100;100;68;68;100;100;100;100;100;100;100
Invest59;73;73;36;35;67;85;85;85;85;85;92;100;100;32;68;100;100;100;100;64;100;34;100;100;96;100;100;100;100;100;100;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest50;70;70;70;25;25;100;12;100;68;100;100;100;36;100;96;96;100;68;68;100;36;100;68;100;100;68;100;100;36;68;68;36;96;68;96;68;36;67;36;68;96;100;100;100;36;100;100;100;100;100
Invest38;96;100;0;48;48;48;48;48;68;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest65;86;86;23;100;100;100;100;100;100;36;68;100;98;36;100;100;100;99;36;100;100;68;96;100;68;68;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest71;37;37;100;97;100;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;100;68;96;100;100;100;100
Invest23;62;84;84;84;84;84;84;84;84;84;84;84;84;84;84;100;100;96;100;36;64;36;100;100;100;100;96;100;36;36;100;100;96;96;100;100;100;100;36;100;100;100;36;100;100;100;100;100;100;100
Invest32;74;12;12;36;36;100;70;100;100;100;100;100;100;100;100;100;100;100;100;96;96;98;98;98;98;98;98;98;98;98;98;98;98;100;100;100;100;36;100;100;100;96;100;100;68;100;100;100;68;100
Invest26;35;100;16;64;68;68;68;68;98;96;96;96;96;96;96;96;96;96;96;96;96;96;96;100;100;100;100;68;32;100;100;36;100;36;100;100;100;100;100;98;96;100;100;100;100;96;96;100;96;100
Invest53;37;37;37;98;98;98;98;98;98;98;98;98;100;96;100;100;100;100;100;68;36;64;100;100;100;100;100;100;66;36;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest11;83;83;83;38;100;27;4;32;68;100;100;100;100;100;100;100;36;36;100;100;100;100;100;100;96;96;68;100;100;100;100;100;100;68;100;96;100;36;4;100;100;36;96;96;100;100;100;68;68;96
Invest8;22;43;43;43;100;100;100;100;100;100;68;20;98;100;97;100;36;100;96;100;100;36;36;100;36;68;96;100;100;100;68;97;100;100;100;100;100;68;96;100;96;100;100;36;100;100;100;96;68;68
Invest47;89;89;100;100;100;100;100;100;100;100;100;100;100;100;100;96;97;100;100;96;100;36;100;68;68;97;98;100;36;100;100;100;100;100;100;36;64;100;100;100;100;68;96;68;100;100;100;100;100;100
Invest29;68;26;75;100;66;66;66;66;100;92;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest20;86;28;28;28;28;28;28;26;68;100;100;100;68;96;100;96;96;100;100;100;96;65;100;100;96;100;36;100;36;96;100;100;96;100;100;96;100;100;100;96;36;100;100;96;64;100;36;36;100;100
Invest97;85;85;18;100;89;100;100;100;100;100;100;100;36;99;100;38;96;100;100;100;68;100;36;100;100;100;100;100;100;36;100;100;100;100;100;100;100;100;100;100;100;68;100;100;100;68;100;100;100;100
Invest14;73;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest2;60;100;82;82;82;82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest82;81;84;68;100;100;34;78;100;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest35;69;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;100;100;100;100;100;100;100;100;100;36;100;100;100;100;100;68;100;100;100;100;100;36;96;100;100;97;96;100;68
Invest79;89;89;89;80;100;100;68;100;82;100;32;100;36;96;100;96;100;100;100;100;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest70;12;12;12;92;99;68;76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest17;91;91;78;92;92;100;94;100;100;100;96;100;100;96;97;100;97;36;100;97;97;100;100;99;100;100;100;100;100;34;98;36;100;100;100;68;100;64;100;36;68;36;100;100;36;100;100;36;100;100
Invest64;49;19;19;2;100;60;28;100;100;100;100;98;98;98;98;98;98;98;100;100;100;68;100;68;97;100;100;100;100;64;100;96;100;32;100;100;100;36;100;100;100;100;100;100;36;96;100;100;100;96
Invest91;35;35;45;100;4;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96
Invest85;48;73;73;73;86;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest94;8;33;20;20;51;100;100;100;100;100;100;96;100;100;34;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest88;76;76;76;44;44;44;44;48;100;100;100;100;96;100;100;36;96;36;64;96;96;100;66;100;96;100;96;96;100;100;100;100;100;100;100;68;68;100;36;100;96;100;100;36;36;36;96;100;36;100
Invest52;40;86;86;9;9;9;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest46;97;97;73;46;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest67;61;61;61;61;100;100;98;100;100;100;100;68;68;100;96;100;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest73;91;100;100;66;86;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;96;68;100;100;100;100;96;100;96;100;68;100;68;100;100;100;68;36;100;100;100;68;100;100;100;100;100;96
Invest28;18;18;67;67;67;67;67;4;100;97;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest55;45;27;50;100;100;100;100;100;100;96;100;97;99;100;100;100;100;36;100;100;100;100;100;100;96;100;100;100;36;100;68;36;100;96;68;100;100;100;32;100;36;100;100;68;100;100;100;100;100;100
Invest49;49;59;59;59;59;70;70;70;70;70;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96
Invest40;46;34;86;86;86;86;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest76;22;22;22;83;100;86;20;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;36;100;36;98;100;36;36;100;96;36;100;96;35;100;100;68;100;100;100;100;100
Invest34;82;82;82;82;82;82;82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest61;76;82;82;100;100;100;100;100;100;100;100;100;100;100;32;36;68;100;100;68;100;98;100;98;100;36;68;100;36;68;100;96;96;96;96;96;96;96;96;97;100;100;100;100;36;100;100;100;100;100
Invest4;47;18;3;13;13;13;13;100;36;100;100;100;100;100;100;100;100;100;100;100;97;97;97;100;100;100;68;100;96;100;100;100;100;100;100;68;100;36;100;100;100;36;96;36;100;100;100;96;36;100
Invest43;58;84;27;27;27;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest37;51;41;41;41;41;68;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;68;100;100;100;100;100;100;96;96;100;100;36;100;68;100;68;100
Invest58;11;11;72;72;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest16;71;73;73;96;24;24;24;24;100;100;96;100;100;100;64;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest22;98;10;10;10;10;5;84;68;100;80;100;32;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest10;49;99;36;36;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;100;32;96;100;100;100;96;100;68;100;100;96;100;100;100;100;100;68;32;100;98;36;100;100;96;36;100
Invest19;85;85;28;28;28;28;28;68;100;100;36;100;100;96;100;36;100;100;100;100;96;36;100;32;100;68;36;100;100;100;36;100;100;100;100;100;32;96;98;100;100;64;68;100;36;100;100;100;36;100
Invest25;7;7;68;100;100;100;84;84;84;84;84;84;84;84;84;84;98;36;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96
Invest93;38;38;27;21;21;21;21;21;68;64;100;36;100;100;100;100;68;96;36;96;100;100;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68
Invest7;77;9;83;83;4;4;4;4;81;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest31;50;68;68;68;36;73;100;100;70;96;68;36;68;100;36;96;100;100;36;68;100;97;100;100;68;100;100;100;100;100;100;100;100;97;100;100;97;100;36;100;36;96;100;68;100;68;100;100;100;100
Invest96;64;64;64;64;61;36;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;100;100;100;36;96;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest13;51;51;80;80;80;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68;100;36;68;96;96
Invest81;67;67;67;100;100;100;100;36;100;36;100;100;96;36;34;68;36;100;100;100;100;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest75;81;81;100;100;100;100;36;68;97;100;100;96;36;100;100;100;100;100;68;68;68;100;97;96;100;100;96;68;100;100;100;98;96;36;36;100;96;100;100;100;100;100;100;100;100;100;100;68;36;100
Invest1;91;35;35;35;96;96;99;86;86;86;86;100;100;100;100;36;100;100;96;100;100;0;96;100;36;100;100;100;100;100;100;36;100;100;100;32;100;36;36;100;100;100;96;100;100;100;100;100;100;100
Invest63;69;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest99;87;87;87;87;87;87;87;68;100;100;100;64;100;100;100;100;100;100;100;100;100;100;100;100;100;68;100;100;100;100;100;100;68;100;100;100;100;96;100;100;96;100;68;36;68;100;96;100;36;100
Invest57;93;93;59;59;59;59;59;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest84;20;20;20;20;100;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96;100;96;100;100;98;96;36;100;100;36;100;100;100;100
Invest90;38;38;4;92;100;100;100;4;76;70;100;100;98;100;100;100;100;68;100;68;36;68;36;100;100;100;100;100;100;100;100;68;36;100;100;100;96;100;68;100;100;100;96;68;100;100;100;100;100;100
Invest78;15;82;82;82;49;100;100;68;80;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68;68;96;100;100;100;100;100;100;96;96
Invest87;86;86;86;36;36;64;73;100;100;100;100;99;100;96;96;100;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest72;89;100;89;84;84;84;84;84;84;84;86;96;96;100;100;100;100;100;100;68;100;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest45;11;68;68;59;59;100;100;36;100;100;68;36;100;68;100;100;100;36;100;100;36;100;96;36;100;100;100;100;68;68;100;100;36;68;36;100;96;100;36;100;100;100;68;100;36;68;100;100;36;100
Invest51;77;77;100;100;96;96;96;64;100;96;96;100;36;100;96;100;100;100;32;96;100;68;100;96;96;100;96;100;96;100;36;100;100;100;100;68;100;36;100;96;100;96;68;100;36;100;100;100;96;36
Invest66;15;100;96;96;96;81;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;100;100;100;68;100;36
Invest39;86;86;86;86;56;56;98;36;100;100;68;100;100;36;100;100;36;100;36;64;100;100;100;100;96;100;100;100;100;100;100;100;36;100;100;100;100;100;100;100;68;97;68;100;96;100;96;97;36;100
Invest30;75;75;99;99;99;68;68;68;100;20;35;100;96;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest0;26;70;70;82;96;96;96;96;96;96;96;96;96;96;96;96;100;68;100;33;100;68;36;100;96;100;100;100;68;100;100;100;100;100;36;100;97;100;64;100;100;100;100;100;100;100;100;100;100;100
Invest48;27;27;96;96;96;34;89;100;100;100;96;68;100;68;100;100;68;68;100;100;100;96;32;68;100;100;68;100;96;100;100;36;96;100;100;100;100;100;100;100;100;100;96;100;100;96;100;100;68;100
Invest9;68;41;41;100;100;80;5;4;100;100;97;36;96;100;68;34;100;100;100;100;36;68;100;100;100;68;68;100;36;100;100;36;68;100;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest54;98;98;42;100;20;11;68;68;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
